,NGN0340,NGN0341,NGN0342,MGY11,NGN0343,MGY12,NGN0344,NGN0345,NGN0346,NGN0347,NGN0348,NGN0349,NGN0350,NGN0351,NGN0352,NGN0353,NGN0354,NGN0355,NGN0356,NGN0357,NGN0358,NGN0359,MGY13,MGY14,MGY15,MGY16,MGY17
0b26118029613a06cb2a66a67c047e1047fbcbed,48,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ee2e1757c5900efecb3ba24781d975e27c137c1e,59,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d54fea03a2f2baf4d165a7cba28e8b7f3c74df2b,27,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0f80dad56150eb892805553e4d9fe3dd0b4c57ad,39,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84aefd6e46e257fc6afa6801b15c64882b1e2428,22,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3863b5803d14a5cc8f90b4d2d1d70ae099b35705,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27393096028308be02f5504be9bf94074d953769,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c6730f5571d10fc858f2ce5f93207caf41d6cfdc,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a1a78cbb2c166270d76fe7554570be53405177a9,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0df49bc2a59c9b7a300b71094240ec6f71e1cd94,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24b53fc31de2820b049798d3a0a181267639334a,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5c02d6f92cfe0fff96bae83fdd2b004671467054,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2c98fc44ecadcf1514145685dba4ce515ea8290d,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
f0a00e3ab22a97abf72dea2406002adfc15fc081,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fa75b22c1dbca70b8a61d938058052eb88964ffd,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54f8affec7f05ce86422ce3aaf02b4dae5cd2ca1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59027eeb931640571c6a359c4d452b397c765558,0,0,52,0,253,0,539,560,1750,485,359,177,107,0,0,0,0,157,122,147,0,0,0,0,0,0,0
