Sample_name,Locus,file1,file2
MiMammal.0321.1Prt.Dn.1,MiMammal,Locus_MiMammal_NGN0095_S1_L001_R1_001.fastq,Locus_MiMammal_NGN0095_S1_L001_R2_001.fastq
MiMammal.0321.1Prt.Dn.2,MiMammal,Locus_MiMammal_NGN0096_S2_L001_R1_001.fastq,Locus_MiMammal_NGN0096_S2_L001_R2_001.fastq
MiMammal.0321.4Pad.Up11.1,MiMammal,Locus_MiMammal_NGN0097_S3_L001_R1_001.fastq,Locus_MiMammal_NGN0097_S3_L001_R2_001.fastq
MiMammal.0321.2Brn.Up.3,MiMammal,Locus_MiMammal_NGN0098_S4_L001_R1_001.fastq,Locus_MiMammal_NGN0098_S4_L001_R2_001.fastq
MiMammal.0321.5Sqm.Dn.1,MiMammal,Locus_MiMammal_NGN0099_S5_L001_R1_001.fastq,Locus_MiMammal_NGN0099_S5_L001_R2_001.fastq
MiMammal.0321.5Sqm.Up.1,MiMammal,Locus_MiMammal_NGN0100_S6_L001_R1_001.fastq,Locus_MiMammal_NGN0100_S6_L001_R2_001.fastq
MiMammal.0321.5Sqm.Up.2,MiMammal,Locus_MiMammal_NGN0101_S7_L001_R1_001.fastq,Locus_MiMammal_NGN0101_S7_L001_R2_001.fastq
MiMammal.0321.2Brn.Up.1TR2,MiMammal,Locus_MiMammal_NGN0102_S8_L001_R1_001.fastq,Locus_MiMammal_NGN0102_S8_L001_R2_001.fastq
MiMammal.0321.2Brn.Up.1TR3,MiMammal,Locus_MiMammal_NGN0103_S9_L001_R1_001.fastq,Locus_MiMammal_NGN0103_S9_L001_R2_001.fastq
MiMammal.0421.1Prt.Dn.3,MiMammal,Locus_MiMammal_NGN0104_S10_L001_R1_001.fastq,Locus_MiMammal_NGN0104_S10_L001_R2_001.fastq
MiMammal.0421.1Prt.Up.1,MiMammal,Locus_MiMammal_NGN0105_S11_L001_R1_001.fastq,Locus_MiMammal_NGN0105_S11_L001_R2_001.fastq
MiMammal.0421.1Prt.Up.2,MiMammal,Locus_MiMammal_NGN0106_S12_L001_R1_001.fastq,Locus_MiMammal_NGN0106_S12_L001_R2_001.fastq
MiMammal.0421.2Brn.Dn.2,MiMammal,Locus_MiMammal_NGN0107_S13_L001_R1_001.fastq,Locus_MiMammal_NGN0107_S13_L001_R2_001.fastq
MiMammal.0421.2Brn.Dn.3,MiMammal,Locus_MiMammal_NGN0108_S14_L001_R1_001.fastq,Locus_MiMammal_NGN0108_S14_L001_R2_001.fastq
MiMammal.0421.2Brn.Up.2,MiMammal,Locus_MiMammal_NGN0109_S15_L001_R1_001.fastq,Locus_MiMammal_NGN0109_S15_L001_R2_001.fastq
MiMammal.0421.2Brn.Up.3,MiMammal,Locus_MiMammal_NGN0110_S16_L001_R1_001.fastq,Locus_MiMammal_NGN0110_S16_L001_R2_001.fastq
MiMammal.0421.3Chk.Up.2,MiMammal,Locus_MiMammal_NGN0111_S17_L001_R1_001.fastq,Locus_MiMammal_NGN0111_S17_L001_R2_001.fastq
MiMammal.0421.3Chk.Up.3,MiMammal,Locus_MiMammal_NGN0112_S18_L001_R1_001.fastq,Locus_MiMammal_NGN0112_S18_L001_R2_001.fastq
MiMammal.0421.4Pad.Dn.2,MiMammal,Locus_MiMammal_NGN0113_S19_L001_R1_001.fastq,Locus_MiMammal_NGN0113_S19_L001_R2_001.fastq
MiMammal.0421.5Sqm.Dn.2,MiMammal,Locus_MiMammal_NGN0114_S20_L001_R1_001.fastq,Locus_MiMammal_NGN0114_S20_L001_R2_001.fastq
MiMammal.0421.5Sqm.Dn.3,MiMammal,Locus_MiMammal_NGN0115_S21_L001_R1_001.fastq,Locus_MiMammal_NGN0115_S21_L001_R2_001.fastq
MiMammal.0421.5Sqm.Up.1,MiMammal,Locus_MiMammal_NGN0116_S22_L001_R1_001.fastq,Locus_MiMammal_NGN0116_S22_L001_R2_001.fastq
MiMammal.0421.5Sqm.Up.2,MiMammal,Locus_MiMammal_NGN0117_S23_L001_R1_001.fastq,Locus_MiMammal_NGN0117_S23_L001_R2_001.fastq
MiMammal.0821.1Prt.Dn.2,MiMammal,Locus_MiMammal_NGN0118_S24_L001_R1_001.fastq,Locus_MiMammal_NGN0118_S24_L001_R2_001.fastq
MiMammal.0821.1Prt.Dn.3,MiMammal,Locus_MiMammal_NGN0119_S25_L001_R1_001.fastq,Locus_MiMammal_NGN0119_S25_L001_R2_001.fastq
MiMammal.0821.1Prt.Up.2,MiMammal,Locus_MiMammal_NGN0120_S26_L001_R1_001.fastq,Locus_MiMammal_NGN0120_S26_L001_R2_001.fastq
MiMammal.0821.2Brn.Up.1,MiMammal,Locus_MiMammal_NGN0121_S27_L001_R1_001.fastq,Locus_MiMammal_NGN0121_S27_L001_R2_001.fastq
MiMammal.0821.3Chk.Dn.1,MiMammal,Locus_MiMammal_NGN0122_S28_L001_R1_001.fastq,Locus_MiMammal_NGN0122_S28_L001_R2_001.fastq
MiMammal.0821.3Chk.Dn.3,MiMammal,Locus_MiMammal_NGN0123_S29_L001_R1_001.fastq,Locus_MiMammal_NGN0123_S29_L001_R2_001.fastq
MiMammal.0821.3Chk.Up.3,MiMammal,Locus_MiMammal_NGN0124_S30_L001_R1_001.fastq,Locus_MiMammal_NGN0124_S30_L001_R2_001.fastq
MiMammal.0821.4Pad.Up11.3,MiMammal,Locus_MiMammal_NGN0125_S31_L001_R1_001.fastq,Locus_MiMammal_NGN0125_S31_L001_R2_001.fastq
MiMammal.0821.4Pad.Up5.2,MiMammal,Locus_MiMammal_NGN0126_S32_L001_R1_001.fastq,Locus_MiMammal_NGN0126_S32_L001_R2_001.fastq
MiMammal.0821.5Sqm.Up.3,MiMammal,Locus_MiMammal_NGN0127_S33_L001_R1_001.fastq,Locus_MiMammal_NGN0127_S33_L001_R2_001.fastq
MiMammal.0821.4Pad.Up5.2TR2,MiMammal,Locus_MiMammal_NGN0128_S34_L001_R1_001.fastq,Locus_MiMammal_NGN0128_S34_L001_R2_001.fastq
MiMammal.0821.4Pad.Up5.2TR3,MiMammal,Locus_MiMammal_NGN0129_S35_L001_R1_001.fastq,Locus_MiMammal_NGN0129_S35_L001_R2_001.fastq
MiMammal.0421.Kangaroo,MiMammal,Locus_MiMammal_NGN0130_S36_L001_R1_001.fastq,Locus_MiMammal_NGN0130_S36_L001_R2_001.fastq
MiFish.0321.1Prt.Up.1,MiFish,Locus_MiFish_NGN0131_S37_L001_R1_001.fastq,Locus_MiFish_NGN0131_S37_L001_R2_001.fastq
MiFish.0321.2Brn.Dn.3,MiFish,Locus_MiFish_NGN0132_S38_L001_R1_001.fastq,Locus_MiFish_NGN0132_S38_L001_R2_001.fastq
MiFish.0321.3Chk.Dn.1,MiFish,Locus_MiFish_NGN0133_S39_L001_R1_001.fastq,Locus_MiFish_NGN0133_S39_L001_R2_001.fastq
MiFish.0321.3Chk.Dn.3,MiFish,Locus_MiFish_NGN0134_S40_L001_R1_001.fastq,Locus_MiFish_NGN0134_S40_L001_R2_001.fastq
MiFish.0321.3Chk.Up.2,MiFish,Locus_MiFish_NGN0135_S41_L001_R1_001.fastq,Locus_MiFish_NGN0135_S41_L001_R2_001.fastq
MiFish.0321.4Pad.Dn.2,MiFish,Locus_MiFish_NGN0136_S42_L001_R1_001.fastq,Locus_MiFish_NGN0136_S42_L001_R2_001.fastq
MiFish.0321.4Pad.Dn.3,MiFish,Locus_MiFish_NGN0137_S43_L001_R1_001.fastq,Locus_MiFish_NGN0137_S43_L001_R2_001.fastq
MiFish.0321.4Pad.Up11.1,MiFish,Locus_MiFish_NGN0138_S44_L001_R1_001.fastq,Locus_MiFish_NGN0138_S44_L001_R2_001.fastq
MiFish.0321.4Pad.Up11.3,MiFish,Locus_MiFish_NGN0139_S45_L001_R1_001.fastq,Locus_MiFish_NGN0139_S45_L001_R2_001.fastq
MiFish.0321.4Pad.Up5.1,MiFish,Locus_MiFish_NGN0140_S46_L001_R1_001.fastq,Locus_MiFish_NGN0140_S46_L001_R2_001.fastq
MiFish.0321.4Pad.Up5.2,MiFish,Locus_MiFish_NGN0141_S47_L001_R1_001.fastq,Locus_MiFish_NGN0141_S47_L001_R2_001.fastq
MiFish.0321.4Pad.Up5.3,MiFish,Locus_MiFish_NGN0142_S48_L001_R1_001.fastq,Locus_MiFish_NGN0142_S48_L001_R2_001.fastq
MiFish.0321.5Sqm.Dn.3,MiFish,Locus_MiFish_NGN0143_S49_L001_R1_001.fastq,Locus_MiFish_NGN0143_S49_L001_R2_001.fastq
MiFish.0321.5Sqm.Up.1,MiFish,Locus_MiFish_NGN0144_S50_L001_R1_001.fastq,Locus_MiFish_NGN0144_S50_L001_R2_001.fastq
MiFish.0421.1Prt.Dn.1,MiFish,Locus_MiFish_NGN0145_S51_L001_R1_001.fastq,Locus_MiFish_NGN0145_S51_L001_R2_001.fastq
MiFish.0421.1Prt.Dn.3,MiFish,Locus_MiFish_NGN0146_S52_L001_R1_001.fastq,Locus_MiFish_NGN0146_S52_L001_R2_001.fastq
MiFish.0421.2Brn.Dn.2,MiFish,Locus_MiFish_NGN0147_S53_L001_R1_001.fastq,Locus_MiFish_NGN0147_S53_L001_R2_001.fastq
MiFish.0421.2Brn.Dn.3,MiFish,Locus_MiFish_NGN0148_S54_L001_R1_001.fastq,Locus_MiFish_NGN0148_S54_L001_R2_001.fastq
MiFish.0421.2Brn.Up.2,MiFish,Locus_MiFish_NGN0149_S55_L001_R1_001.fastq,Locus_MiFish_NGN0149_S55_L001_R2_001.fastq
MiFish.0421.3Chk.Dn.1,MiFish,Locus_MiFish_NGN0150_S56_L001_R1_001.fastq,Locus_MiFish_NGN0150_S56_L001_R2_001.fastq
MiFish.0421.3Chk.Dn.2,MiFish,Locus_MiFish_NGN0151_S57_L001_R1_001.fastq,Locus_MiFish_NGN0151_S57_L001_R2_001.fastq
MiFish.0421.3Chk.Up.1,MiFish,Locus_MiFish_NGN0152_S58_L001_R1_001.fastq,Locus_MiFish_NGN0152_S58_L001_R2_001.fastq
MiFish.0421.4Pad.Up11.2,MiFish,Locus_MiFish_NGN0153_S59_L001_R1_001.fastq,Locus_MiFish_NGN0153_S59_L001_R2_001.fastq
MiFish.0421.4Pad.Up5.1,MiFish,Locus_MiFish_NGN0154_S60_L001_R1_001.fastq,Locus_MiFish_NGN0154_S60_L001_R2_001.fastq
MiFish.0421.4Pad.Up5.2,MiFish,Locus_MiFish_NGN0155_S61_L001_R1_001.fastq,Locus_MiFish_NGN0155_S61_L001_R2_001.fastq
MiFish.0421.5Sqm.Dn.2,MiFish,Locus_MiFish_NGN0156_S62_L001_R1_001.fastq,Locus_MiFish_NGN0156_S62_L001_R2_001.fastq
MiFish.0421.5Sqm.Dn.3,MiFish,Locus_MiFish_NGN0157_S63_L001_R1_001.fastq,Locus_MiFish_NGN0157_S63_L001_R2_001.fastq
MiFish.0421.5Sqm.Up.2,MiFish,Locus_MiFish_NGN0158_S64_L001_R1_001.fastq,Locus_MiFish_NGN0158_S64_L001_R2_001.fastq
MiFish.0421.5Sqm.Up.3,MiFish,Locus_MiFish_NGN0159_S65_L001_R1_001.fastq,Locus_MiFish_NGN0159_S65_L001_R2_001.fastq
MiFish.0821.1Prt.Dn.2,MiFish,Locus_MiFish_NGN0160_S66_L001_R1_001.fastq,Locus_MiFish_NGN0160_S66_L001_R2_001.fastq
MiFish.0821.1Prt.Dn.3,MiFish,Locus_MiFish_NGN0161_S67_L001_R1_001.fastq,Locus_MiFish_NGN0161_S67_L001_R2_001.fastq
MiFish.0821.1Prt.Up.2,MiFish,Locus_MiFish_NGN0162_S68_L001_R1_001.fastq,Locus_MiFish_NGN0162_S68_L001_R2_001.fastq
MiFish.0821.1Prt.Up.3,MiFish,Locus_MiFish_NGN0163_S69_L001_R1_001.fastq,Locus_MiFish_NGN0163_S69_L001_R2_001.fastq
MiFish.0821.2Brn.Dn.2,MiFish,Locus_MiFish_NGN0164_S70_L001_R1_001.fastq,Locus_MiFish_NGN0164_S70_L001_R2_001.fastq
MiFish.0821.2Brn.Up.1,MiFish,Locus_MiFish_NGN0165_S71_L001_R1_001.fastq,Locus_MiFish_NGN0165_S71_L001_R2_001.fastq
MiFish.0821.2Brn.Up.3,MiFish,Locus_MiFish_NGN0166_S72_L001_R1_001.fastq,Locus_MiFish_NGN0166_S72_L001_R2_001.fastq
MiFish.0821.3Chk.Up.1,MiFish,Locus_MiFish_NGN0167_S73_L001_R1_001.fastq,Locus_MiFish_NGN0167_S73_L001_R2_001.fastq
MiFish.0821.4Pad.Dn.1,MiFish,Locus_MiFish_NGN0168_S74_L001_R1_001.fastq,Locus_MiFish_NGN0168_S74_L001_R2_001.fastq
MiFish.0821.5Sqm.Dn.1,MiFish,Locus_MiFish_NGN0169_S75_L001_R1_001.fastq,Locus_MiFish_NGN0169_S75_L001_R2_001.fastq
MiFish.0821.2Brn.Dn.2TR2,MiFish,Locus_MiFish_NGN0170_S76_L001_R1_001.fastq,Locus_MiFish_NGN0170_S76_L001_R2_001.fastq
MiFish.0821.2Brn.Dn.2TR3,MiFish,Locus_MiFish_NGN0171_S77_L001_R1_001.fastq,Locus_MiFish_NGN0171_S77_L001_R2_001.fastq
MiFish.Kangaroo.Run.2,MiFish,Locus_MiFish_NGN0172_S78_L001_R1_001.fastq,Locus_MiFish_NGN0172_S78_L001_R2_001.fastq
