"","representative","taxID","taxon","rank","score","kingdom","phylum","class","order","family","genus","species"
"1","7aa929fd12fc38856e105d3092ae8752af4b44da",9321,"Osphranter rufus","species",NA,"Metazoa","Chordata","Mammalia","Diprotodontia","Macropodidae","Osphranter","Osphranter rufus"
"2","8ade38d6c1396cc32395e6773d53ae373734314c",61384,"Lynx rufus","species",NA,"Metazoa","Chordata","Mammalia","Carnivora","Felidae","Lynx","Lynx rufus"
"3","cb0cf229832374ff8f4ce89c20348a90da9c04e1",90988,"Pimephales promelas","species",NA,"Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Pimephales","Pimephales promelas"
"4","30742d31b3cc7a387b96133d0998ecee07c83597",9347,"Eutheria","clade",0.9999,"Metazoa","Chordata","Mammalia","","","",""
"5","091608e9343c9f2c79ff64e3fcfbcdfbce8653bc",69292,"Gasterosteus","genus",0.9992,"Metazoa","Chordata","Actinopteri","Perciformes","Gasterosteidae","Gasterosteus",""
"6","a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a",2012981,"Lampetra sp. CBM:ZF:17561","species",NA,"Metazoa","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","Lampetra","Lampetra sp. CBM:ZF:17561"
"7","2108e3ae4bfad9cc5a6d1f18dc1de351b5b7ac3f",337687,"Muroidea","clade",1,"Metazoa","Chordata","Mammalia","Rodentia","","",""
"8","76918abfaa90d218d683fdbc4f8024dd430d7d91",33213,"Bilateria","clade",1,"Metazoa","","","","","",""
"9","e3bb86462242cc75b2d9159e96f588a2ca09a5d3",10114,"Rattus","genus",0.9998,"Metazoa","Chordata","Mammalia","Rodentia","Muridae","Rattus",""
"10","29c5193eb0e4e364b7127ff7590e8eb751d24740",504568,"Salmoninae","subfamily",0.9957,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"11","814bd62cd7f0891ddea80fac0be25f86af95d790",90988,"Pimephales promelas","species",NA,"Metazoa","Chordata","Actinopteri","Cypriniformes","Leuciscidae","Pimephales","Pimephales promelas"
"12","2888591f23daf76ef3ae53a7d4bd6ffe13361bb8",39087,"Arvicolinae","subfamily",0.9468,"Metazoa","Chordata","Mammalia","Rodentia","Cricetidae","",""
"13","4d599bf71d8ba588d94d18e520b7f12419c17cd6",9606,"Homo sapiens","species",0.9982,"Metazoa","Chordata","Mammalia","Primates","Hominidae","Homo","Homo sapiens"
"14","d15e926efd8720231adb32a8b4e6e40608827676",27778,"Ameiurus nebulosus","species",NA,"Metazoa","Chordata","Actinopteri","Siluriformes","Ictaluridae","Ameiurus","Ameiurus nebulosus"
"15","23bf5f5d24f589cba120a8635ee13e9817d90a52",504568,"Salmoninae","subfamily",0.9869,"Metazoa","Chordata","Actinopteri","Salmoniformes","Salmonidae","",""
"16","334d14d4c60937f5fd35b2803afc9d66a7408620",8295,"Ambystoma","genus",0.9997,"Metazoa","Chordata","Amphibia","Caudata","Ambystomatidae","Ambystoma",""
