"","MiMammal.0321.2Brn.Dn.3","MiMammal.0321.4Pad.Dn.2","MiMammal.0321.2Brn.Up.1","MiMammal.0321.4Pad.Up11.2","MiMammal.0321.5Sqm.Dn.2","MiMammal.0321.5Sqm.Up.3","MiMammal.0421.1Prt.Dn.1","MiMammal.0421.1Prt.Dn.2","MiMammal.0421.1Prt.Up.3","MiMammal.0421.2Brn.Dn.1","MiMammal.0421.2Brn.Up.1","MiMammal.0421.3Chk.Dn.3","MiMammal.0421.4Pad.Dn.1","MiMammal.0421.4Pad.Dn.3","MiMammal.0421.5Sqm.Dn.1","MiMammal.0821.1Prt.Up.3","MiMammal.0821.2Brn.Up.2","MiMammal.0821.3Chk.Up.1","MiMammal.0821.4Pad.Dn.1","MiMammal.0821.4Pad.Up11.1","MiMammal.0821.4Pad.Up5.1","MiMammal.0821.5Sqm.Dn.1","MiMammal.0821.5Sqm.Up.2","MiMammal.0821.Kangaroo","MiMammal.0321.1Prt.Up.1","MiMammal.0321.2Brn.Dn.2"
"fd7d89190e5c165cf36284ea0fca46c98216328c",5531,298,0,343,1542,612,995,867,1487,942,0,1539,826,390,404,1144,0,19668,785,544,0,9820,13478,0,678,1118
"d6f69979e2e7c50e468fdb7a4ad00eb8296b8bf9",13857,8541,28,4200,10679,3586,4729,1770,526,19167,5333,15520,2139,14041,10982,14,12146,189,4,13129,11,849,378,0,4184,4419
"580a64b0134da56e49bf06482ed6ee164d8a6ec5",3357,0,32,0,0,0,57,0,0,210,2094,475,0,10,0,0,6596,901,0,0,0,0,0,0,0,6909
"8519a7f742cabfdb887dc2013feba40c4584b8db",13,9,0,0,0,0,0,2004,5141,4,0,1206,0,0,409,16563,0,0,0,0,0,0,0,3,6722,0
"76918abfaa90d218d683fdbc4f8024dd430d7d91",1939,0,0,0,0,0,0,0,0,770,8555,0,0,0,0,0,5757,0,0,0,0,0,0,0,0,0
"c161735732d10ef81323d9b5812491897d2eb5ab",245,867,0,1374,3031,2291,0,0,0,3999,0,1497,2113,178,1526,1768,0,0,0,620,0,0,0,0,0,2254
"a2f2121e42c56aa5bd2b1fca2bd1b29869d2400a",624,0,0,0,3,0,10,55,582,0,0,0,0,0,0,0,0,0,0,0,0,39,1985,0,11,2176
"9bb9b0ca0ff04246c282a4ecaa318c8af7a948bb",397,237,0,103,281,93,150,0,0,509,135,445,0,386,302,0,329,0,0,374,0,0,0,0,122,143
"ddf5d8f01c176ab003be35dd8935dab512bf36c1",1449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,166,0,0,0,0,0,0
"dac66c6958eb6715abd0243ec2f5592da97cb1f5",152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532,0,0,0,264,388,0,0,0
"2888591f23daf76ef3ae53a7d4bd6ffe13361bb8",142,0,0,0,597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"01719166d24c6b718d79036a279a11fa88f786c7",652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
